recipe_name,ingredients,preperation_steps,vegan_friendly_(yes/no),nut-free_(yes/no),non-dairy_friendly_(yes/no),vegan_substitute,dairy_substitute,nut_substitute,dietary_tags,source_url,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,food_name,category,protein,carbs,fat,iron,vitamin_c,unnamed:_0,fat_(g),carb._(g),fiber_(g),sodium,protein_(g),beverage_category,beverage,beverage_prep,total_fat_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g),vitamin_a_(%_dv),vitamin_c_(%_dv),calcium_(%_dv),iron_(%_dv),caffeine_(mg),item_name,protein_std,carbs_std,fat_std,fiber_std,sugar_std,calories_std
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,262.0,,"Oranges, raw, with peel",Fruits and Fruit Juices,1.3,15.5,0.3,0.8,71.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Oranges, raw, with peel",1.3,15.5,0.3,0.0,0.0,262.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,67.0,,"Tomatoes, orange, raw",Vegetables and Vegetable Products,1.16,3.18,0.19,0.47,16.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, orange, raw",1.16,3.18,0.19,0.0,0.0,67.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,83.0,,"Grapes, raw",Grapes,0.9,19.4,0.2,0.18,3.2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grapes, raw",0.9,19.4,0.2,0.0,0.0,83.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,66.0,,"Grape juice, 100%",Other fruit juice,0.18,15.73,0.28,0.08,50.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice, 100%",0.18,15.73,0.28,0.0,0.0,66.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,69.0,,"Grape leaves, canned",Vegetables and Vegetable Products,4.27,11.7,1.97,2.98,11.3,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape leaves, canned",4.27,11.7,1.97,0.0,0.0,69.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,390.0,,"Grape leaves, raw",Vegetables and Vegetable Products,5.6,17.3,2.12,2.63,11.1,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape leaves, raw",5.6,17.3,2.12,0.0,0.0,390.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,238.0,,"Grapes, muscadine, raw",Fruits and Fruit Juices,0.81,13.9,0.47,0.26,6.5,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grapes, muscadine, raw",0.81,13.9,0.47,0.0,0.0,238.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,27.0,,"Tomatoes, grape, raw",Vegetables and Vegetable Products,0.83,5.51,0.63,0.33,27.2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Tomatoes, grape, raw",0.83,5.51,0.63,0.0,0.0,27.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,180.0,,"Beverages, carbonated, grape soda",Beverages,0.0,11.2,0.0,0.08,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, carbonated, grape soda",0.0,11.2,0.0,0.0,0.0,180.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,61.0,,"Beverages, grape drink, canned",Beverages,0.0,15.7,0.0,0.07,31.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, grape drink, canned",0.0,15.7,0.0,0.0,0.0,61.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,23.0,,"Grape juice drink, light",Fruit drinks,0.06,5.51,0.1,0.03,17.6,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice drink, light",0.06,5.51,0.1,0.0,0.0,23.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,168.0,,Grape leaves stuffed with rice,Rice mixed dishes,2.28,13.88,11.95,1.25,5.6,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Grape leaves stuffed with rice,2.28,13.88,11.95,0.0,0.0,168.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,237.0,,"Beverages, grape juice drink, canned",Beverages,0.0,14.6,0.0,0.13,26.5,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, grape juice drink, canned",0.0,14.6,0.0,0.0,0.0,237.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,224.0,,"Beverages, OCEAN SPRAY, Cran Grape",Beverages,0.21,13.2,0.0,0.04,28.1,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Beverages, OCEAN SPRAY, Cran Grape",0.21,13.2,0.0,0.0,0.0,224.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,62.0,,"Grape juice, 100%, with calcium added",Other fruit juice,0.37,14.77,0.13,0.25,25.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Grape juice, 100%, with calcium added",0.37,14.77,0.13,0.0,0.0,62.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,228.0,,Stuffed grape leaves with beef and rice,Meat mixed dishes,8.15,11.3,17.03,1.91,9.7,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stuffed grape leaves with beef and rice,8.15,11.3,17.03,0.0,0.0,228.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,271.0,,Stuffed grape leaves with lamb and rice,Meat mixed dishes,8.17,11.89,21.52,1.83,8.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Stuffed grape leaves with lamb and rice,8.17,11.89,21.52,0.0,0.0,271.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,60.0,,"Mango, raw",Mango and papaya,0.82,14.98,0.38,0.16,36.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, raw",0.82,14.98,0.38,0.0,0.0,60.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,65.0,,"Mango, canned",Mango and papaya,0.62,16.22,0.3,0.12,21.8,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, canned",0.62,16.22,0.3,0.0,0.0,65.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,60.0,,"Mango, frozen",Mango and papaya,0.82,14.98,0.38,0.16,36.4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"Mango, frozen",0.82,14.98,0.38,0.0,0.0,60.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,51.0,,Mango nectar,Fruit drinks,0.11,13.12,0.06,0.36,15.2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,Mango nectar,0.11,13.12,0.06,0.0,0.0,51.0
